Frequency_Hz,Reflection_Coefficient,Absorption_Coefficient,Attenuation_dB,Specific_Resistance_Ratio,Specific_Reactance_Ratio
380,0.970506,0.05811822,0.2600361,0.1129652,-2.556592
384,0.9702112,0.05869019,0.2626742,0.1108594,-2.514271
388,0.970288,0.05854112,0.2619864,0.1070656,-2.467789
392,0.9712989,0.0565784,0.2529418,0.1017819,-2.445793
396,0.9710948,0.05697489,0.2547674,0.09995966,-2.409957
400,0.9718398,0.05552733,0.248106,0.09410385,-2.362595
404,0.971458,0.05626935,0.2515194,0.093655,-2.336993
408,0.9722462,0.05473739,0.2444752,0.08858076,-2.299595
412,0.9737827,0.05174732,0.2307592,0.08162099,-2.267001
416,0.9730864,0.05310297,0.2369725,0.0816967,-2.232434
420,0.9728964,0.05347258,0.238668,0.08068889,-2.206358
424,0.9725735,0.05410087,0.2415518,0.07946462,-2.170265
428,0.9728343,0.05359346,0.2392227,0.07705117,-2.142603
432,0.9709647,0.05722761,0.2559314,0.08116324,-2.122287
436,0.9706363,0.05786514,0.2588693,0.07997933,-2.088613
440,0.9668242,0.06525087,0.2930493,0.08924355,-2.069865
444,0.9623007,0.07397747,0.3337845,0.09732278,-2.014492
448,0.972845,0.0535726,0.2391269,0.06803092,-1.984652
452,0.9740167,0.05129153,0.2286722,0.06414843,-1.967291
456,0.9734792,0.05233824,0.2334665,0.06444677,-1.9474
460,0.9753938,0.04860687,0.2163999,0.05845883,-1.921044
464,0.9753802,0.04863352,0.2165215,0.05771699,-1.904816
468,0.9751002,0.04917955,0.2190149,0.05698445,-1.875525
472,0.9756613,0.04808497,0.2140182,0.054884,-1.858173
476,0.9758109,0.04779309,0.2126867,0.05338518,-1.832596
480,0.9749727,0.04942828,0.2201511,0.05443221,-1.814694
484,0.9759784,0.0474661,0.2111956,0.05124927,-1.792677
488,0.9764616,0.04652268,0.2068963,0.04934498,-1.772438
492,0.9761534,0.04712456,0.2096387,0.04925098,-1.75487
496,0.9764208,0.04660249,0.2072599,0.04804672,-1.739411
500,0.9772121,0.04505658,0.2002236,0.04550573,-1.716625
504,0.9772092,0.0450623,0.2002496,0.04462682,-1.694137
508,0.977228,0.04502535,0.2000816,0.04398794,-1.67867
512,0.9774778,0.04453707,0.1978616,0.04290273,-1.663001
516,0.9775283,0.04443836,0.1974129,0.04209151,-1.644019
520,0.9777279,0.04404807,0.1956395,0.04107547,-1.626722
524,0.9787318,0.04208416,0.1867265,0.03863749,-1.610478
528,0.9778358,0.04383707,0.194681,0.03978683,-1.596642
532,0.9775806,0.04433614,0.1969484,0.0396047,-1.578717
536,0.9774254,0.04463959,0.1983276,0.03931816,-1.563007
540,0.9773437,0.04479933,0.1990538,0.03879113,-1.544171
544,0.9774547,0.04458237,0.1980675,0.03823212,-1.533727
548,0.9768128,0.04583669,0.2037729,0.03877172,-1.518031
552,0.9773638,0.04475993,0.1988747,0.0372807,-1.501888
556,0.9775425,0.04441077,0.1972875,0.03651468,-1.488103
560,0.9784024,0.04272878,0.18965,0.03470949,-1.47603
564,0.978066,0.04338694,0.1926369,0.03474811,-1.460428
568,0.9781662,0.04319084,0.1917467,0.03416483,-1.447267
572,0.9773045,0.04487586,0.1994018,0.03514914,-1.435783
576,0.9780535,0.04341143,0.1927482,0.03345614,-1.419389
580,0.9776101,0.04427844,0.1966862,0.03386883,-1.410934
584,0.9784114,0.0427112,0.1895702,0.03216055,-1.39519
588,0.9787251,0.04209721,0.1867856,0.03138917,-1.385197
592,0.978099,0.04332227,0.1923434,0.03192545,-1.37217
596,0.9782605,0.04300648,0.19091,0.0313541,-1.361077
600,0.9785952,0.04235142,0.1879383,0.0304762,-1.347787
604,0.9791796,0.04120725,0.1827526,0.02935389,-1.337841
608,0.980167,0.03927261,0.1739983,0.02758267,-1.32417
612,0.9796349,0.04031539,0.1787147,0.02812477,-1.316599
616,0.9801986,0.0392108,0.1737189,0.02690666,-1.30011
620,0.9798717,0.03985137,0.1766153,0.02712839,-1.291498
624,0.9806463,0.03833282,0.1697521,0.02578406,-1.279967
628,0.9800403,0.0395211,0.1751217,0.02631026,-1.268698
632,0.9798459,0.03990203,0.1768445,0.02628683,-1.257723
636,0.9803422,0.03892916,0.172446,0.02538119,-1.247609
640,0.9803315,0.03895009,0.1725406,0.02515091,-1.237724
644,0.9788775,0.04179889,0.1854333,0.02673559,-1.226506
648,0.9799275,0.03974211,0.1761212,0.02514124,-1.216354
652,0.978993,0.04157269,0.1844082,0.02611784,-1.20833
656,0.9786084,0.04232556,0.187821,0.02633881,-1.198247
660,0.9783247,0.04288077,0.1903396,0.02642791,-1.188147
664,0.9788871,0.04178005,0.1853479,0.02546784,-1.17758
668,0.9788235,0.04190457,0.1859123,0.02535206,-1.169887
672,0.9786161,0.04231048,0.1877526,0.02538835,-1.16137
676,0.978839,0.04187411,0.1857743,0.0248949,-1.152241
680,0.9792944,0.04098254,0.1817349,0.0241341,-1.143108
684,0.9789484,0.04166001,0.1848039,0.0243366,-1.134647
688,0.9789066,0.04174191,0.1851751,0.02417448,-1.125888
692,0.9783428,0.04284531,0.1901787,0.02458614,-1.116048
696,0.9785591,0.042422,0.1882584,0.0241138,-1.10675
700,0.9795728,0.04043716,0.1792658,0.02278182,-1.098851
704,0.9790065,0.04154634,0.1842888,0.02323185,-1.090742
708,0.9788364,0.0418793,0.1857978,0.02323532,-1.082706
712,0.9778679,0.04377437,0.1943962,0.02410421,-1.074149
716,0.9765504,0.04634929,0.2061066,0.02533428,-1.065396
720,0.9767939,0.04587358,0.2039408,0.02491691,-1.05934
724,0.9768448,0.04577428,0.2034888,0.02466691,-1.051468
728,0.9764953,0.04645687,0.2065966,0.0248041,-1.041846
732,0.9765,0.04644781,0.2065553,0.02460042,-1.033796
736,0.9756497,0.04810774,0.2141221,0.02529413,-1.025616
740,0.9757285,0.04795396,0.2134205,0.02507845,-1.020339
744,0.9741125,0.0511049,0.227818,0.02655813,-1.012371
748,0.9731634,0.05295295,0.2362844,0.02730035,-1.003438
752,0.9724443,0.0543521,0.2427054,0.02785675,-0.9967978
756,0.9720411,0.05513614,0.2463076,0.02811207,-0.9911855
760,0.971487,0.0562129,0.2512597,0.028493,-0.9847369
764,0.9705896,0.05795586,0.2592875,0.02920286,-0.9778878
768,0.9705419,0.05804843,0.2597142,0.02910069,-0.9727373
772,0.9706583,0.05782247,0.2586726,0.02880891,-0.9666815
776,0.9705069,0.05811632,0.2600273,0.02878283,-0.9605491
780,0.9706193,0.0578981,0.2590213,0.02850003,-0.9545494
784,0.9714217,0.05633986,0.2518439,0.02755071,-0.9487769
788,0.9718802,0.05544889,0.2477454,0.02692775,-0.9423113
792,0.9723198,0.05459422,0.2438175,0.02633519,-0.9360345
796,0.9724947,0.05425411,0.2422554,0.02601879,-0.9303638
800,0.9731246,0.05302858,0.2366313,0.02523486,-0.9232467
804,0.9733746,0.05254185,0.2343996,0.02485036,-0.9173497
808,0.9739926,0.05133832,0.2288864,0.02411808,-0.9112232
812,0.9736647,0.05197704,0.2318114,0.0242954,-0.9058263
816,0.9747209,0.04991919,0.2223945,0.02316478,-0.8996211
820,0.9755521,0.04829812,0.2149907,0.02225485,-0.8933749
824,0.9756603,0.04808706,0.2140277,0.02203316,-0.8878191
828,0.9774488,0.04459393,0.19812,0.0202702,-0.881621
832,0.9792217,0.04112488,0.1823795,0.01853173,-0.8746888
836,0.9788445,0.0418635,0.1857262,0.01875012,-0.8681577
840,0.9787686,0.04201204,0.1863995,0.01869333,-0.8614367
844,0.9793366,0.04089993,0.1813608,0.01807137,-0.8549296
848,0.9790525,0.0414561,0.1838799,0.01821082,-0.848745
